adc0,adc1,adc2,adc3,sonar0,sonar1,sonar2,sonar3,speed,turn
0,0,0,0,0.785,0.8049999999999999,0.765,0.78,-0.2125,0
0,0,0,0,0.7825,0.81,0.7925,0.77,-0.208333,0
0,0,0.33333333333333337,0,0.765,0.8049999999999999,0.78,0.7525,-0.195833,0
0,0,0,0,0.7825,0.7975,0.755,0.7,-0.158333,0
0,0,0,0,0.7925,0.79,0.8025,0.75,0.0958334,0
0,0,0,0,0.785,0.79,0.81,0.8,0.175,0
0,0,0,0,0.7825,0.79,0.7525,0.785,0.266667,0
0,0,0,0,0.785,0.7875,0.775,0.785,0.3125,0
0,0,0,0,0.7875,0.7925,0.7775,0.78,0.333333,0
0,0,0,0,0.7825,0.8,0.78,0.7675,0.345833,0
0,0,0,0,0.795,0.7975,0.7575000000000001,0.7025,0.375,0
0,0,0,0,0.78,0.7975,0.765,0.735,0.395833,0
0,0,0,0,0.78,0.8075,0.7925,0.7050000000000001,0.4125,0
0,0,0,0,0.8049999999999999,0.8049999999999999,0.795,0.795,0.425,0
0,0,0,0,0.7875,0.8225,0.79,0.75,0.433333,0
0,0,0,0,0.8175,0.8225,0.7825,0.8075,0.441667,0
0,0,0,0,0.815,0.8275,0.78,0.8125,0.45,0
0,0,0,0,0.825,0.8325,0.7925,0.7324999999999999,0.475,0.354167
0,0,0,0,0.6950000000000001,0.6950000000000001,0.6950000000000001,0,0.475,0.525
0,0,0,0,0.5475,0.5475,0.5475,0.7125,0.475,0.570833
0,0,0,0,0.51,0.51,0.51,0.5449999999999999,0.475,0.65
0,0,0,0,0.43999999999999995,0.43999999999999995,0.43999999999999995,0,0.475,0.683333
0,0,0,0,0.4125,0.4125,0.4125,0.8325,0.475,0.7125
0,0,0,0,0.38749999999999996,0.38749999999999996,0.38749999999999996,0,0.475,0.720833
0,0,0.16666666666666663,0,0.38,0.38,0.38,0,0.475,0.733333
0.033333333333333326,0,0,0,0.37,0.37,0.37,0,0.475,0.733333
0.43333333333333335,0,0,0,0.37,0.37,0.37,0.81,0.475,0.516667
0.5666666666666667,0,0,0,0.5549999999999999,0.5549999999999999,0.5549999999999999,0,0.475,0.575
0.5666666666666667,0,0,0,0.505,0.505,0.505,0,0.475,0.625
0.33333333333333337,0,0,0,0.4625,0.4625,0.4625,0.8225,0.475,0.6375
0,0,0,0,0.4525,0.4525,0.4525,0.84,0.475,0.645833
0,0,0,0,0.44499999999999995,0.44499999999999995,0.44499999999999995,0.8325,0.475,0
0,0.2666666666666667,0.09999999999999998,0,0.98,0,0.9775,0.8575,0.475,0.0791666
0,0.4,0,0,0.9325,0.9325,0.9325,0.85,0.475,-0.5625
0,0.3666666666666667,0,0,0,0,0.98,0.8375,0.475,-0.8625
0,0.43333333333333335,0,0,0.8674999999999999,0.725,0.775,0.8825000000000001,0.491667,0.125
0,0.2666666666666667,0,0,0.8925,0.8925,0.8925,0,0.491667,-0.216667
0,0.3666666666666667,0,0,0.8925,0.8925,0.8925,0.89,0.491667,-0.545833
0,0.33333333333333337,0,0,0.985,0,0.98,0.895,0.491667,0
0,0.3666666666666667,0,0,0.7925,0.63,0.7050000000000001,0.9125,0.491667,0
0,0.4666666666666667,0,0.6333333333333333,0.675,0.6775,0.6625,0.94,0.483333,0
0,0.5,0,0.09999999999999998,0.815,0.7324999999999999,0.645,0.945,0.308333,0
0,0.5,0,0,0.7475,0.7525,0.6799999999999999,0.8575,0.166667,0
0,0.5333333333333333,0,0,0.7075,0.7075,0.72,0.9575,0.0166668,0
0,0.5333333333333333,0,0,0.71,0.78,0.765,0.9575,0,0
0,0.5333333333333333,0,0,0.7075,0.71,0.7625,0.9575,0.291667,0
0,0.5666666666666667,0,0,0.7725,0.7275,0.76,0.96,0.1,0
0,0.5666666666666667,0,0,0.7150000000000001,0.7175,0.76,0.96,0.0458334,0
0,0.5666666666666667,0,0,0.7150000000000001,0.7175,0.7324999999999999,0.96,0.0166668,0
0,0.5666666666666667,0,0,0.7150000000000001,0.7175,0.76,0.9625,-0.00833321,0
0,0.6,0,0,0.7150000000000001,0.7224999999999999,0.755,0.96,-0.0166666,0
0,0.6,0,0,0.8475,0.725,0.76,0.96,-0.0208332,0
0,0.6,0,0,0.7175,0.72,0.7075,0.96,-0.0375,0
0,0.6,0,0,0.7150000000000001,0.7175,0.745,0.96,-0.0541666,0
0,0.6,0,0,0.7175,0.7224999999999999,0.745,0.96,-0.0625,0
0,0.6,0,0,0.7375,0.7324999999999999,0.765,0.9625,-0.0708332,0
0,0.6,0,0,0.7125,0.725,0.7575000000000001,0.9625,-0.0833332,0
0,0.5666666666666667,0,0,0.7125,0.7324999999999999,0.7575000000000001,0.96,-0.0958332,0
0,0.6,0,0,0.7175,0.72,0.6575,0.96,-0.154167,0
0,0.6,0,0,0.7150000000000001,0.7224999999999999,0.7575000000000001,0.96,-0.1875,0
0,0.5666666666666667,0,0,0.9,0.7224999999999999,0.7050000000000001,0.96,-0.220833,0
0,0.5666666666666667,0,0,0.71,0.725,0.755,0.96,-0.233333,0
0,0.5666666666666667,0,0,0.7050000000000001,0.71,0.7625,0.9575,-0.266667,0
0,0.5333333333333333,0,0,0.75,0.7050000000000001,0.6725,0.955,-0.295833,0
0,0.5333333333333333,0,0,0.7975,0.7025,0.75,0.9525,-0.325,0
0,0.5,0,0,0.69,0.7025,0.745,0.95,-0.325,0
0,0.4666666666666667,0,0,0.7575000000000001,0.7,0.6699999999999999,0.9475,-0.254167,0
0,0.43333333333333335,0,0.2666666666666667,0.675,0.69,0.725,0.9425,-0.241667,-0.1625
0,0.43333333333333335,0,0.5333333333333333,0.6725,0.69,0.72,0.94,-0.233333,0.0208334
0,0.43333333333333335,0,0.5,0.9825,0.9825,0.9825,0.9375,-0.225,0.0625
0,0.4,0,0.3666666666666667,0.9475,0.9475,0.9475,0.9375,-0.220833,0.241667
0,0.43333333333333335,0,0.30000000000000004,0.7925,0.7925,0.7925,0.9375,-0.216667,0.295833
0,0.43333333333333335,0,0.1333333333333333,0.745,0.745,0.745,0.935,-0.2125,0.316667
0,0.43333333333333335,0,0,0.7275,0.7275,0.7275,0.935,-0.208333,0.325
0,0.4,0,0.5666666666666667,0.72,0.72,0.72,0,-0.208333,0.333333
0,0.3666666666666667,0,0.5666666666666667,0.7125,0.7125,0.7125,0,-0.2,0.3375
0,0.30000000000000004,0,0,0.71,0.71,0.71,0.9299999999999999,-0.195833,0.3375
0,0.23333333333333328,0,0,0.71,0.71,0.71,0,-0.195833,0
0,0.30000000000000004,0,0,0.985,0,0.9775,0.9275,-0.195833,0.025
0,0.16666666666666663,0,0,0.98,0.98,0.98,0.925,-0.1875,0.225
0,0.16666666666666663,0,0,0.8075,0.8075,0.8075,0.925,-0.175,0.4125
0,0.1333333333333333,0,0,0.645,0.645,0.645,0,-0.170833,0.454167
0,0.09999999999999998,0,0,0.61,0.61,0.61,0.92,-0.1625,0.454167
0,0,0,0,0.61,0.61,0.61,0.92,-0.158333,0.454167
0,0,0,0,0.61,0.61,0.61,0,-0.158333,0.458333
0,0,0,0,0.605,0.605,0.605,0.9175,-0.158333,0.466667
0,0,0,0,0.6,0.6,0.6,0.9175,-0.145833,0.466667
0,0,0,0,0.6,0.6,0.6,0,-0.141667,0.466667
0,0,0,0,0.6,0.6,0.6,0,-0.141667,0.483333
0,0,0,0,0.585,0.585,0.585,0.915,-0.141667,0.5375
0,0,0,0,0.5375,0.5375,0.5375,0.915,-0.1375,0.55
0,0,0,0,0.5275000000000001,0.5275000000000001,0.5275000000000001,0.915,-0.1375,0.566667
0,0,0,0,0.5125,0.5125,0.5125,0.915,-0.1375,0.570833
0,0,0,0.033333333333333326,0.51,0.51,0.51,0.9125,-0.1375,0.575
0,0,0,0,0.505,0.505,0.505,0.915,-0.133333,0.595833
0,0,0,0,0.48750000000000004,0.48750000000000004,0.48750000000000004,0.915,-0.133333,0.608333
0,0,0,0,0.47750000000000004,0.47750000000000004,0.47750000000000004,0.9125,-0.125,0.633333
